Relative Intensity vs Linear Position, Run #4
Linear Position ( m )	Relative Intensity (  )
-0.111	0.26
-0.111	0.26
-0.111	0.25
-0.111	0.25
-0.112	0.23
-0.112	0.22
-0.112	0.21
-0.112	0.21
-0.112	0.21
-0.112	0.20
-0.112	0.21
-0.112	0.21
-0.112	0.20
-0.112	0.20
-0.112	0.19
-0.112	0.19
-0.112	0.19
-0.112	0.18
-0.113	0.18
-0.113	0.17
-0.113	0.17
-0.113	0.17
-0.113	0.16
-0.113	0.16
-0.113	0.15
-0.113	0.14
-0.113	0.14
-0.113	0.14
-0.113	0.14
-0.113	0.14
-0.113	0.13
-0.113	0.13
-0.113	0.13
-0.113	0.14
-0.113	0.14
-0.113	0.13
-0.113	0.13
-0.113	0.13
-0.113	0.14
-0.113	0.14
-0.113	0.13
-0.113	0.13
-0.113	0.14
-0.113	0.14
-0.113	0.14
-0.113	0.13
-0.113	0.14
-0.113	0.13
-0.113	0.14
-0.113	0.14
-0.113	0.14
-0.113	0.14
-0.113	0.13
-0.113	0.14
-0.113	0.14
-0.113	0.14
-0.113	0.14
-0.113	0.14
-0.113	0.13
-0.113	0.14
-0.113	0.14
-0.113	0.14
-0.114	0.13
-0.114	0.13
-0.114	0.13
-0.114	0.13
-0.114	0.13
-0.114	0.12
-0.114	0.12
-0.114	0.11
-0.114	0.12
-0.114	0.12
-0.114	0.11
-0.114	0.11
-0.114	0.10
-0.115	0.10
-0.115	0.10
-0.115	0.10
-0.115	0.10
-0.115	0.10
-0.115	0.09
-0.115	0.10
-0.115	0.10
-0.115	0.09
-0.115	0.09
-0.115	0.09
-0.116	0.09
-0.116	0.09
-0.116	0.09
-0.116	0.08
-0.116	0.08
-0.116	0.09
-0.116	0.08
-0.116	0.08
-0.116	0.08
-0.116	0.08
-0.116	0.08
-0.117	0.08
-0.117	0.08
-0.117	0.08
-0.117	0.08
-0.117	0.08
-0.117	0.08
-0.117	0.08
-0.117	0.08
-0.117	0.08
-0.117	0.08
-0.117	0.08
-0.117	0.08
-0.117	0.08
-0.117	0.08
-0.118	0.09
-0.118	0.08
-0.118	0.08
-0.118	0.08
-0.118	0.08
-0.118	0.09
-0.118	0.08
-0.118	0.08
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.08
-0.118	0.08
-0.118	0.09
-0.118	0.08
-0.118	0.08
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.08
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.08
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.08
-0.118	0.08
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.118	0.09
-0.119	0.09
-0.119	0.09
-0.119	0.09
-0.119	0.09
-0.119	0.09
-0.119	0.10
-0.119	0.10
-0.119	0.09
-0.119	0.09
-0.119	0.09
-0.120	0.10
-0.120	0.10
-0.120	0.10
-0.120	0.10
-0.120	0.10
-0.120	0.11
-0.120	0.11
-0.120	0.11
-0.121	0.11
-0.121	0.11
-0.121	0.11
-0.121	0.12
-0.121	0.12
-0.122	0.12
-0.122	0.12
-0.122	0.12
-0.122	0.12
-0.122	0.12
-0.122	0.12
-0.122	0.12
-0.122	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.13
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.123	0.12
-0.124	0.12
-0.124	0.12
-0.124	0.12
-0.124	0.12
-0.125	0.12
-0.125	0.11
-0.125	0.11
-0.125	0.12
-0.126	0.12
-0.126	0.12
-0.126	0.11
-0.126	0.11
-0.126	0.11
-0.127	0.11
-0.127	0.10
-0.127	0.10
-0.127	0.10
-0.128	0.09
-0.128	0.09
-0.128	0.10
-0.128	0.09
-0.128	0.09
-0.129	0.09
-0.129	0.09
-0.129	0.09
-0.129	0.08
-0.129	0.08
-0.130	0.08
-0.130	0.08
-0.130	0.08
-0.130	0.07
-0.130	0.07
-0.130	0.08
-0.130	0.08
-0.130	0.07
-0.130	0.08
-0.130	0.08
-0.130	0.08
-0.130	0.07
-0.130	0.07
-0.130	0.08
-0.130	0.07
-0.130	0.07
-0.130	0.07
-0.130	0.08
-0.130	0.08
-0.130	0.07
-0.130	0.07
-0.130	0.08
-0.130	0.08
-0.130	0.08
-0.130	0.07
-0.130	0.08
-0.130	0.08
-0.130	0.07
-0.130	0.07
-0.130	0.07
-0.130	0.08
-0.130	0.08
-0.130	0.07
-0.130	0.07
-0.130	0.08
-0.130	0.08
-0.130	0.07
-0.130	0.07
-0.130	0.08
-0.131	0.07
-0.131	0.07
-0.131	0.07
-0.131	0.07
-0.131	0.07
-0.132	0.07
-0.132	0.07
-0.132	0.07
-0.132	0.07
-0.132	0.07
-0.132	0.06
-0.132	0.07
-0.132	0.07
-0.132	0.07
-0.133	0.07
-0.133	0.06
-0.133	0.07
-0.133	0.07
-0.133	0.06
-0.133	0.06
-0.133	0.06
-0.133	0.07
-0.133	0.07
-0.133	0.06
-0.133	0.06
-0.133	0.06
-0.133	0.07
-0.133	0.07
-0.133	0.06
-0.133	0.06
-0.133	0.07
-0.133	0.07
-0.133	0.07
-0.133	0.06
-0.133	0.07
-0.133	0.07
-0.133	0.06
-0.133	0.06
-0.133	0.06
-0.133	0.07
-0.133	0.07
-0.133	0.06
-0.133	0.06
-0.133	0.06
-0.133	0.07
-0.133	0.06
-0.133	0.06
-0.133	0.07
-0.133	0.07
-0.133	0.07
-0.133	0.06
-0.133	0.06
-0.133	0.07
-0.133	0.07
-0.134	0.07
-0.134	0.06
-0.134	0.07
-0.134	0.07
-0.134	0.06
-0.134	0.06
-0.134	0.06
-0.134	0.07
-0.135	0.07
-0.135	0.06
-0.135	0.06
-0.135	0.07
-0.135	0.07
-0.136	0.07
-0.136	0.06
-0.136	0.07
-0.136	0.07
-0.136	0.07
-0.136	0.07
-0.136	0.07
-0.137	0.07
-0.137	0.07
-0.137	0.07
-0.137	0.07
-0.137	0.07
-0.137	0.08
-0.138	0.07
-0.138	0.07
-0.138	0.08
-0.138	0.08
-0.139	0.08
-0.139	0.07
-0.139	0.08
-0.140	0.08
-0.140	0.08
-0.140	0.08
-0.140	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.141	0.08
-0.142	0.08
-0.142	0.08
-0.142	0.08
-0.142	0.08
-0.142	0.08
-0.142	0.08
-0.142	0.08
-0.143	0.08
-0.143	0.08
-0.143	0.08
-0.143	0.08
-0.143	0.07
-0.144	0.07
-0.144	0.08
-0.144	0.08
-0.144	0.07
-0.144	0.07
-0.144	0.08
-0.145	0.08
-0.145	0.08
-0.145	0.07
-0.145	0.07
-0.145	0.08
-0.145	0.07
-0.145	0.07
-0.146	0.07
-0.146	0.07
-0.146	0.07
-0.146	0.07
-0.146	0.07
-0.146	0.07
-0.146	0.07
-0.146	0.07
-0.147	0.07
-0.147	0.07
-0.147	0.07
-0.147	0.07
-0.147	0.06
-0.148	0.06
-0.148	0.07
-0.148	0.07
-0.148	0.06
-0.148	0.06
-0.148	0.06
-0.148	0.07
-0.148	0.07
-0.148	0.06
-0.148	0.06
-0.148	0.06
-0.148	0.07
-0.148	0.06
-0.148	0.06
-0.148	0.07
-0.148	0.07
-0.148	0.07
-0.148	0.06
-0.148	0.06
-0.148	0.07
-0.148	0.06
-0.148	0.07
-0.148	0.06
-0.148	0.06
-0.148	0.07
-0.148	0.06
-0.148	0.06
-0.148	0.06
-0.148	0.07
-0.148	0.07
-0.148	0.06
-0.149	0.06
-0.149	0.07
-0.149	0.07
-0.149	0.06
-0.150	0.06
-0.150	0.06
-0.150	0.07
-0.151	0.07
-0.151	0.06
-0.151	0.06
-0.151	0.06
-0.152	0.07
-0.152	0.06
-0.152	0.06
-0.152	0.06
-0.152	0.06
-0.152	0.07
-0.152	0.06
-0.153	0.06
-0.153	0.06
-0.153	0.07
-0.153	0.06
-0.153	0.06
-0.153	0.06
-0.154	0.07
-0.154	0.07
-0.154	0.06
-0.154	0.06
-0.154	0.07
-0.154	0.07
-0.154	0.07
-0.154	0.06
-0.154	0.06
-0.154	0.07
-0.154	0.07
-0.154	0.06
-0.154	0.06
-0.154	0.07
-0.154	0.07
-0.154	0.06
-0.154	0.06
-0.154	0.07
-0.154	0.07
-0.154	0.07
-0.154	0.06
-0.154	0.07
-0.154	0.07
-0.154	0.07
-0.154	0.07
-0.154	0.06
-0.154	0.07
-0.154	0.07
-0.154	0.06
-0.154	0.06
-0.154	0.06
-0.155	0.07
-0.155	0.07
-0.155	0.06
-0.155	0.07
-0.155	0.07
-0.155	0.07
-0.155	0.07
-0.156	0.06
-0.156	0.07
-0.156	0.07
-0.156	0.07
-0.156	0.07
-0.156	0.07
-0.156	0.07
-0.156	0.07
-0.157	0.06
-0.157	0.07
-0.157	0.07
-0.157	0.07
-0.157	0.07
-0.158	0.07
-0.158	0.07
-0.158	0.07
-0.158	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.159	0.07
-0.160	0.07
-0.160	0.07
-0.160	0.07
-0.160	0.07
-0.160	0.07
-0.161	0.07
-0.161	0.07
-0.161	0.07
-0.161	0.06
-0.161	0.07
-0.161	0.07
-0.162	0.07
-0.162	0.07
-0.161	0.06
-0.161	0.07
-0.161	0.07
-0.161	0.06
-0.161	0.06
-0.161	0.06
-0.161	0.07
-0.161	0.07
-0.161	0.06
-0.161	0.07
-0.161	0.06
-0.161	0.07
-0.161	0.06
-0.161	0.06
-0.161	0.07
-0.161	0.07
-0.161	0.07
-0.161	0.06
-0.161	0.06
-0.161	0.07
-0.161	0.07
-0.161	0.07
-0.161	0.06
-0.161	0.07
-0.161	0.07
-0.161	0.07
-0.161	0.06
-0.162	0.06
-0.162	0.07
-0.162	0.07
-0.162	0.06
-0.162	0.06
-0.162	0.07
-0.162	0.07
-0.162	0.07
-0.162	0.06
-0.163	0.06
-0.163	0.07
-0.163	0.06
-0.164	0.06
-0.164	0.06
-0.164	0.06
-0.165	0.07
-0.165	0.06
-0.165	0.06
-0.166	0.06
-0.166	0.06
-0.166	0.06
-0.166	0.06
-0.166	0.06
-0.166	0.06
-0.166	0.06
-0.166	0.06
-0.166	0.06
-0.166	0.06
-0.166	0.07
-0.166	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.167	0.06
-0.168	0.06
-0.168	0.06
-0.168	0.06
-0.169	0.06
-0.169	0.06
-0.169	0.06
-0.170	0.06
-0.170	0.06
-0.170	0.06
-0.171	0.06
-0.171	0.06
-0.171	0.06
-0.172	0.06
-0.172	0.06
-0.172	0.07
-0.172	0.07
-0.172	0.06
-0.172	0.06
-0.173	0.06
-0.173	0.07
-0.173	0.06
-0.173	0.06
-0.173	0.06
-0.173	0.07
-0.173	0.07
-0.173	0.06
-0.173	0.06
-0.173	0.06
-0.173	0.07
-0.173	0.06
-0.173	0.06
-0.173	0.07
-0.173	0.07
-0.173	0.07
-0.173	0.06
-0.173	0.06
-0.173	0.07
-0.173	0.07
-0.173	0.07
-0.173	0.06
-0.173	0.06
-0.173	0.07
-0.173	0.06
-0.173	0.06
-0.173	0.06
-0.173	0.07
-0.173	0.07
-0.173	0.06
-0.173	0.06
-0.173	0.06
-0.173	0.07
-0.173	0.07
-0.173	0.06
-0.173	0.06
-0.173	0.07
-0.173	0.07
-0.173	0.06
-0.174	0.06
-0.174	0.07
-0.174	0.07
-0.174	0.06
-0.174	0.06
-0.174	0.06
-0.174	0.07
-0.174	0.07
-0.175	0.06
-0.175	0.06
-0.175	0.06
-0.175	0.07
-0.176	0.07
-0.176	0.06
-0.176	0.06
-0.176	0.07
-0.176	0.07
-0.177	0.06
-0.177	0.06
-0.177	0.07
-0.177	0.07
-0.178	0.07
-0.178	0.06
-0.178	0.06
-0.179	0.07
-0.179	0.06
-0.179	0.06
-0.179	0.06
-0.179	0.06
-0.180	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.07
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.07
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.07
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.07
-0.181	0.06
-0.181	0.06
-0.181	0.06
-0.181	0.07
-0.181	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.07
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
-0.180	0.06
